Variable,Value,Value_Label
NUMBLD_R,20,20 or more buildings
NUMCAT_R,-9,Not reported
NUMCAT_R,1,2 to 4 units
NUMCAT_R,2,5 to 24 units
NUMCAT_R,3,25 to 49 units
NUMCAT_R,4,50 or more units
OPTAX_R,-9,Not reported
OPTAX_R,0,0
OPTAX_R,1,1 to 499
OPTAX_R,2,500 to 999
OPTAX_R,3,1000 to 1749
OPTAX_R,4,1750 to 2499
OPTAX_R,5,2500 to 3249
OPTAX_R,6,3250 to 3999
OPTAX_R,7,4000 to 4999
OPTAX_R,8,5000 to 5999
OPTAX_R,9,6000 to 6999
OPTAX_R,10,7000 to 9999
OPTAX_R,11,10000 to 17499
OPTAX_R,12,17500 to 24999
OPTAX_R,13,25000 to 37499
OPTAX_R,14,37500 to 49999
OPTAX_R,15,50000 to 74999
OPTAX_R,16,75000 to 149999
OPTAX_R,17,150000 to 299999
OPTAX_R,18,300000 or more
OTHLOAN,-9,Not reported
OTHLOAN,-8,Not applicable
OTHLOAN,1,Yes
OTHLOAN,2,No
OTHRCV,-9,Not reported
OTHRCV,1,Yes
OTHRCV,2,No
OUTCOME,501,Interview complete
OUTCOME,503,Sufficient partial - No follow up needed
OUTCOME,504,"Sufficient partial - ""Must have"" interview"
OUTCOME,513,Language problem
OUTCOME,514,Unable to locate
OUTCOME,515,Insufficient partial
OUTCOME,516,No one available
OUTCOME,517,Temporarily absent
OUTCOME,518,Refusal
OUTCOME,519,Type A - Other
OUTCOME,520,Type A - Congressional or Hard Refusal
OUTCOME,521,Sample property is financed under another sample property's financing
OUTCOME,522,Sample property is operated by public housing
OUTCOME,524,Sample property is condo or % of rentals below minimum requirement
OUTCOME,529,Under construction - not ready
OUTCOME,533,Type B Noninterview - Other
OUTCOME,540,Demolished
OUTCOME,541,Sample property is a manufactured housing community
OUTCOME,543,Converted to a permanent business or storage
OUTCOME,546,Duplicate
OUTCOME,547,Type C Noninterview-Other
OWNENT,-9,Not reported
OWNENT,-9,Not reported
OWNENT,1,"Individual investor, including joint ownership by two or more individuals, such as husband and wife"
OWNENT,2,Trustee for estate
OWNENT,3,Limited liability partnership
OWNENT,4,Limited liability company
OWNENT,5,Tenant in common
OWNENT,6,General partnership
OWNENT,7,Real Estate Investment Trust (REIT)
OWNENT,8,Life insurance company
OWNENT,9,Financial institution other than life insurance company
OWNENT,10,Pension fund or retirement fund
OWNENT,11,Real estate corporation
OWNENT,12,Corporation other than real estate corporation
OWNENT,13,Housing cooperative organization or stock cooperative
OWNENT,14,"Nonprofit organization (including religious institution, labor union, or fraternal organization)"
OWNENT,15,Other kind of institution - Specify
PBS8V,-9,Not reported
PBS8V,1,Yes
PBS8V,2,No
PBS8V,3,Don't know
PMTFREQ,-9,Not reported
PMTFREQ,-8,Not applicable
PMTFREQ,1,Biweekly (every 2 weeks)
PMTFREQ,2,Monthly
PMTFREQ,3,Quarterly
PMTFREQ,4,Other-specify
PMTFREQ2,-9,Not reported
PMTFREQ2,-8,Not applicable
PMTFREQ2,1,Biweekly
PMTFREQ2,2,Monthly
PMTFREQ2,3,Quarterly
PMTFREQ2,4,Other - Specify below
PMTFREQ3,-9,Not reported
PMTFREQ3,-8,Not applicable
PMTFREQ3,1,Biweekly
PMTFREQ3,2,Monthly
PMTFREQ3,3,Quarterly
PMTFREQ3,4,Other - Specify below
PMTFREQ4,-9,Not reported
PMTFREQ4,-8,Not applicable
PMTFREQ4,1,Biweekly
PMTFREQ4,2,Monthly
PMTFREQ4,3,Quarterly
PMTFREQ4,4,Other - Specify below
PRIVATE,-9,Not reported
PRIVATE,1,Yes
PROPOUT,-9,Not reported
PROPOUT,1,Operated by a public housing authority
PROPOUT,2,A manufactured housing community (prefabricated housing / mobile homes)?
PROPOUT,3,None of the above
PROPTYPE,-9,Not reported
PROPTYPE,-8,Not applicable
PROPTYPE,1,"A residential property with 2 to 4 units, all of which are RENTAL UNITS?"
PROPTYPE,2,"A residential property with 5 or more units, of which 80% or more are RENTAL UNITS and commonly owned/financed?"
PROPTYPE,3,Some other type of rental property?
REGPAY,-9,Not reported
REGPAY,-8,Not applicable
REGPAY,1,Yes
REGPAY,2,No
RPIINT,-9,Not reported
RPIINT,-8,Not applicable
RPIINT,1,Interest included
RPIINT2,-9,Not reported
RPIINT2,-8,Not applicable
RPIINT2,1,Yes
RPIINT3,-9,Not reported
RPIINT3,-8,Not applicable
RPIINT3,1,Yes
RPIINT4,-9,Not reported
RPIINT4,-8,Not applicable
RPIINT4,1,Yes
RPIOTH,-9,Not reported
RPIOTH,-8,Not applicable
RPIOTH,1,Yes
RPIOTH2,-9,Not reported
RPIOTH2,-8,Not applicable
RPIOTH2,1,Yes
RPIOTH3,-9,Not reported
RPIOTH3,-8,Not applicable
RPIOTH3,1,Yes
RPIOTH4,-9,Not reported
RPIOTH4,-8,Not applicable
RPIOTH4,1,Yes
RPIPMI,-9,Not reported
RPIPMI,-8,Not applicable
RPIPMI,1,Yes
RPIPRIN,-9,Not reported
RPIPRIN,-8,Not applicable
RPIPRIN,1,Yes
RPIPRIN2,-9,Not reported
RPIPRIN2,-8,Not applicable
RPIPRIN2,1,Yes
RPIPRIN3,-9,Not reported
RPIPRIN3,-8,Not applicable
RPIPRIN3,1,Yes
RPIPRIN4,-9,Not reported
RPIPRIN4,-8,Not applicable
RPIPRIN4,1,Yes
RPIPRPINS,-9,Not reported
RPIPRPINS,-8,Not applicable
RPIPRPINS,1,Yes
RPIPRPTAX,-9,Not reported
RPIPRPTAX,-8,Not applicable
RPIPRPTAX,1,Yes
RSUBSIDY,-9,Not reported
RSUBSIDY,1,Yes
SECT8,-9,Not reported
SECT8,1,Yes
SECT8,2,No
SECT8,3,Don't know
SENIOR,-9,Not reported
SENIOR,1,Yes
SENIOR,2,No
TAXDEPREC,-9,Not reported
TAXDEPREC,-8,Not applicable
TAXDEPREC,1,Yes
TIED2INX,-9,Not reported
TIED2INX,-8,Not applicable
TIED2INX,1,Yes
TIED2INX,2,No
TXCREDIT,-9,Not reported
TXCREDIT,1,Yes
VOUCHER,-9,Not reported
VOUCHER,1,Yes
VOUCHER,2,No
VOUCHER,3,Don't know
WHYNOMRT,-9,Not reported
WHYNOMRT,-8,Not applicable
WHYNOMRT,1,I prefer not to carry any debt on this property or do not want a mortgage
WHYNOMRT,2,"I have tried to get a mortgage, but was denied"
WHYNOMRT,3,Other – Specify
YRMORT1_R,-9,Not reported
YRMORT1_R,-8,Not applicable
YRMORT1_R,1,1960 to 1979
YRMORT1_R,2,1980 to 1989
YRMORT1_R,3,1990 to 1999
YRMORT1_R,4,2000 to 2004
YRMORT1_R,5,2005 to 2006
YRMORT1_R,6,2007 to 2008
YRMORT1_R,7,2009 to 2010
YRMORT1_R,8,2011 to 2012
YRMORT2_R,-9,Not reported
YRMORT2_R,-8,Not applicable
YRMORT2_R,1,1995 or earlier
YRMORT2_R,2,1996 to 2007
YRMORT2_R,3,2007 to 2012
YRMORT3_R,-9,Not reported
YRMORT3_R,-8,Not applicable
YRMORT3_R,1,1995 or earlier
YRMORT3_R,2,1996 to 2007
YRMORT3_R,3,2007 to 2012
YRMORT4_R,-8,Not applicable
YRMORT4_R,-8,Not applicable
YRMORT4_R,1,1995 or earlier
YRMORT4_R,2,1996 to 2007
YRMORT4_R,3,2007 to 2012
YRNEWBLG_R,-9,Not reported
YRNEWBLG_R,1,1959 or earlier
YRNEWBLG_R,2,1960 to 1969
YRNEWBLG_R,3,1970 to 1979
YRNEWBLG_R,4,1980 to 1989
YRNEWBLG_R,5,1990 to 1999
YRNEWBLG_R,6,2000 to 2004
YRNEWBLG_R,7,2005 to 2006
YRNEWBLG_R,8,2007 to 2008
YRNEWBLG_R,9,2009 to 2010
YRNEWBLG_R,10,2011 to 2012
YROLDBLG_R,-9,Not reported
YROLDBLG_R,1,1919 or earlier
YROLDBLG_R,2,1920 to 1939
YROLDBLG_R,3,1940 to 1959
YROLDBLG_R,4,1960 to 1969
YROLDBLG_R,5,1970 to 1979
YROLDBLG_R,6,1980 to 1989
YROLDBLG_R,7,1990 to 1999
YROLDBLG_R,8,2000 to 2004
YROLDBLG_R,9,2005 to 2006
YROLDBLG_R,10,2007 to 2008
YROLDBLG_R,11,2009 to 2010
YROLDBLG_R,12,2011 to 2012
YRPROPACQ_R,-9,Not reported
YRPROPACQ_R,1,1969 or earlier
YRPROPACQ_R,2,1970 to 1979
YRPROPACQ_R,3,1980 to 1989
YRPROPACQ_R,4,1990 to 1999
YRPROPACQ_R,5,2000 to 2004
YRPROPACQ_R,6,2005 to 2006
YRPROPACQ_R,7,2007 to 2008
YRPROPACQ_R,8,2009 to 2010
YRPROPACQ_R,9,2011 to 2012
